index,x,y
11993,1.6668267110239968e-01,2.3728210824415819e-01
7015,4.6857554663171747e-01,2.0275570821187625e-01
6565,5.5578121878464670e-01,1.9881273726758381e-01
7191,5.6634114153640214e-01,2.3665260220412498e-01
11919,1.6530208675436001e-01,2.4856283130553930e-01
6876,6.6569935579892925e-01,2.4461329026976014e-01
7511,5.1454573438224172e-01,2.4091037801752960e-01
191,2.2000000000000002e+00,0.0000000000000000e+00
6803,7.4179984716736613e-01,2.6416283247138939e-01
5579,6.2978698749783335e-01,1.4756993515260455e-01
6295,6.2660174878213759e-01,1.9944234700579444e-01
6171,6.7152457520256814e-01,2.0220084465070595e-01
11904,2.2660160382576677e-01,2.4233620996141425e-01
6308,7.3123992442054442e-01,2.2632296753969722e-01
11632,1.5070644907408820e-01,1.9162468883476305e-01
6230,8.0470043508896960e-01,2.3641254349534938e-01
6552,4.5115438739194830e-01,1.7188795699504847e-01
7162,3.8119601120207508e-01,1.9016742115321411e-01
5247,7.4817032460369637e-01,1.6041800876985576e-01
5790,6.5409207171706785e-01,1.7137725317249317e-01
10305,2.0280352236185967e-01,1.5007865924910915e-01
11897,1.9719647763814027e-01,2.4992134075089084e-01
6714,6.2500912942428866e-01,2.2537855293238881e-01
5378,7.0324749818328725e-01,1.5765951112494331e-01
11154,1.6668267110239990e-01,1.6271789175584164e-01
4517,1.3178766485741111e+00,2.7164340315761787e-01
5902,5.8063156103161817e-01,1.6128767720015597e-01
6724,7.1062218221936024e-01,2.4737178791467562e-01
5783,7.2068000166877255e-01,1.8848310260315984e-01
3032,1.2455066539441291e+00,1.3888907101063103e-01
5644,5.4681391539076496e-01,1.3503666640439937e-01
2206,1.4458157018270548e+00,1.2887424121527111e-01
4540,7.7989324758441336e-01,1.1587667524408961e-01
3026,1.1694061625707290e+00,1.1933952880416614e-01
9097,1.6935001031648497e-01,1.3178457170695113e-01
5453,8.0788567382168830e-01,1.8454013165883712e-01
5054,6.7630243327611184e-01,1.2439222687092234e-01
2284,1.7338325251652540e+00,2.1164499072360471e-01
1745,1.8442959202073073e+00,1.9611316563842487e-01
4105,1.3141893065560502e+00,2.2678726476274758e-01
5087,1.1667230271573894e+00,2.6794049090540911e-01
4848,7.5927550538321775e-01,1.3692549561906975e-01
5005,1.0948551358297789e+00,2.3191470900648420e-01
1774,1.9050586307554258e+00,2.5563146068816733e-01
8355,0.0000000000000000e+00,2.7109115337444567e-01
7219,6.0967134859897365e-01,2.6534730577563354e-01
11234,2.4992134075089084e-01,1.9719647763814044e-01
7060,6.8049187859648885e-01,2.6597691551383834e-01
6314,7.6929017008700018e-01,2.3609773862310374e-01
5890,4.1151890368776789e-01,1.1927840886472278e-01
3358,1.4029875980668256e+00,1.9690808789182568e-01
4851,1.0066021023467617e+00,2.0046150779007743e-01
7285,4.2974841626850953e-02,1.3565402271673843e-01
3894,1.4325726436619532e+00,2.3963533837997578e-01
6117,7.9464261222412713e-01,2.9530122546139331e-01
6797,6.2446387139653070e-01,2.8671093101971312e-01
6435,6.8631709800012586e-01,2.2356446989478407e-01
6860,5.9911142584721200e-01,2.2750744083909635e-01
6124,8.8344090716733825e-01,2.6542205195262658e-01
8278,2.4118961660758442e-02,2.5901428969193119e-01
3783,1.3474309562455469e+00,3.1443370862965525e-01
6161,6.0493664525084723e-01,1.8509499522004089e-01
7122,6.4508161359772920e-01,2.6566211064473899e-01
7609,5.6474852217854821e-01,2.6258880813071972e-01
4153,1.3712646750861150e+00,2.4144942141759582e-01
7021,5.2565091516176876e-01,2.1741786486674439e-01
8484,3.4922885457373171e-01,2.5115638558810033e-01
817,1.9891222189180220e+00,1.4549997326166203e-01
2908,1.3189671646295880e+00,1.4897864698296365e-01
6340,8.3164550001283766e-01,2.6967982776571625e-01
2836,1.4399904824234244e+00,1.7128668683432591e-01
266,2.1476505243707904e+00,2.3891516230354851e-01
5738,9.2413113354198095e-01,2.8465678928999300e-01
5733,8.5171798418662326e-01,3.0996338547839231e-01
4391,5.3778250538809513e-01,0.0000000000000000e+00
4459,1.0367324059696317e+00,1.8185638019090705e-01
5713,8.2267819661924813e-01,2.0590375690291421e-01
5163,1.0752847549586817e+00,2.8835970154219187e-01
11413,2.0294557046093664e-01,2.6450252038539263e-01
5383,6.8422237533993924e-01,1.5277212557332517e-01
6181,6.5249945235921936e-01,1.9731345909908765e-01
8102,3.0839731535591597e-01,3.0898131630864528e-01
3336,1.6011587685641633e+00,2.7416184211036432e-01
388,2.0546627875396664e+00,1.2720965053162253e-01
5672,9.3682893367934716e-01,2.3522807021261155e-01
3872,8.6181895836144728e-01,9.3013771831499170e-02
6155,5.0029846961449065e-01,1.5821437468157099e-01
6563,6.0334402589299752e-01,2.1103120114663446e-01
5546,8.7711358446135457e-01,2.1110594732362864e-01
371,2.1676750448732185e+00,2.7916190583752554e-01
6297,5.4098869598709576e-01,1.7744911202349994e-01
5450,6.5568469107491656e-01,1.4544104724589896e-01
5799,9.5849403721063986e-01,2.4957542199836197e-01
1965,1.8992334113517739e+00,2.9804390630721572e-01
5134,9.1675644950589874e-01,1.9494451250026648e-01
7696,5.0344055360270812e-01,2.6440289116830801e-01
3569,1.2941168223826032e+00,1.8650370705040203e-01
4429,1.1867955113308368e+00,3.0822404861775460e-01
4544,8.8453142322283529e-01,1.4275729577797952e-01
6587,7.8408269219010507e-01,2.5746136318694707e-01
9113,2.0606491472117291e-01,1.3597623950060980e-01
4015,9.1202174615776332e-01,1.1469220194467564e-01
808,2.0102420644215737e+00,2.2117970313468915e-01
5795,9.9654428289733943e-01,2.5935019310159352e-01
5787,7.4921768593379168e-01,1.9581418093058389e-01
6576,6.6041939442304487e-01,2.2569335780149141e-01
1024,2.0001842449721701e+00,2.8006838844623255e-01
8186,3.8088052336001277e-01,2.8028672291436846e-01
2527,1.8437506621795789e+00,2.5744554372576117e-01
6708,5.6793376089425562e-01,2.1071639627753036e-01
6446,7.5290502794856606e-01,2.4067031932224689e-01
2530,1.7771627322278429e+00,2.4033969429510268e-01
1578,1.8960913273614717e+00,1.9185538982499969e-01
5540,1.0578522514731772e+00,2.5753611006398114e-01
4256,1.3791846171499487e+00,2.6982932011999766e-01
4801,8.0419833180364952e-01,1.3968399326397307e-01
5784,6.8262975598209030e-01,1.7870833149992021e-01
6420,5.0557843098833033e-01,1.7713430715439493e-01
3633,1.4748554893944403e+00,2.3293386979074229e-01
7784,7.2683620235936455e-02,1.6580066314809680e-01
445,1.9294064543655047e+00,0.0000000000000000e+00
4203,9.6486451464202172e-01,1.4583059829198350e-01
5911,6.2819436813998619e-01,1.7350614107919993e-01
4672,8.4912115822407885e-01,1.4244249090888053e-01
8980,2.0886102059366332e-01,3.0197272099913314e-01
4872,1.1302654008285351e+00,2.3222951387558205e-01
4856,9.6855185666006183e-01,1.9068673668684558e-01
5577,5.2514881186092610e-01,1.2068931461542166e-01
3486,1.0631753675744622e+00,1.1839511419687486e-01
8006,4.3664607169679837e-01,2.5474926797444719e-01
6703,5.1085839236421171e-01,1.9605423962266513e-01
5976,8.3747071941677376e-01,2.2726738214695583e-01
2455,1.4891459088896355e+00,1.5756894478676983e-01
4578,7.0643273689897434e-01,1.0578709927175682e-01
3547,1.1038655939491033e+00,1.3762985153423904e-01
306,2.0895277945106434e+00,1.8885683348797150e-01
3244,1.5620611615473594e+00,2.2899089884640844e-01
2935,1.6022061298942658e+00,3.0955801427109242e-01
5315,7.7670800886872027e-01,1.6774908709728134e-01
5055,7.7142804749283522e-01,1.4882915462901256e-01
450,2.1916348356717852e+00,3.0651050438298216e-01
7341,4.7385550800759763e-01,2.2167564068014722e-01
