index,x,y
7946,0.0000000000000000e+00,2.1651938927432438e-01
8026,1.5225979919956559e-02,2.2452290391028715e-01
6300,6.3611431020381248e-01,2.0188603978160399e-01
6177,6.6201201378089414e-01,1.9975715187489707e-01
6428,6.1021660662673016e-01,2.0401492768831020e-01
6044,6.8790971735797324e-01,1.9762826396818872e-01
6561,5.8431890304965217e-01,2.0614381559501613e-01
5916,7.1380742093504546e-01,1.9549937606148424e-01
5924,6.4721949098333542e-01,1.7839352663081859e-01
6035,6.2132178740625355e-01,1.8052241453752518e-01
6305,7.0270224015553306e-01,2.1899188921226828e-01
6157,5.9542408382917389e-01,1.8265130244423125e-01
6436,6.7680453657845152e-01,2.2112077711897518e-01
6710,5.5842119947258539e-01,2.0827270350171920e-01
5786,7.3970512451211745e-01,1.9337048815477617e-01
6176,7.2859994373259751e-01,2.1686300130556260e-01
6715,6.3452169084596355e-01,2.2782224570819848e-01
5659,7.6560282808919644e-01,1.9124160024806383e-01
6427,5.5314123809670801e-01,1.8935277103344841e-01
6865,6.0862398726888378e-01,2.2995113361490405e-01
5654,6.7998977529414895e-01,1.6924836526578543e-01
6056,7.6401020873132908e-01,2.1717780617463706e-01
6862,5.8008630300386754e-01,2.2262005528747780e-01
6723,7.0110962079768646e-01,2.4492809513886382e-01
6583,7.4603244721665896e-01,2.4768659278236052e-01
7021,5.2565091516176876e-01,2.1741786486674439e-01
6876,6.6569935579892925e-01,2.4461329026976014e-01
5385,6.6519725249659123e-01,1.4788474002170796e-01
5380,7.3178518244829360e-01,1.6499058945237230e-01
5109,7.1699265965075154e-01,1.4362696420829155e-01
5645,6.2291440676410181e-01,1.5458620861093023e-01
6491,8.0046783494128693e-01,2.5288878308800278e-01
5906,5.7111899960994772e-01,1.5884398442434713e-01
4848,7.5927550538321775e-01,1.3692549561906975e-01
6420,5.0557843098833033e-01,1.7713430715439493e-01
6900,6.9951700143983575e-01,2.7086430106546133e-01
7349,5.9751880648935818e-01,2.5344364676568926e-01
7122,6.4508161359772920e-01,2.6566211064473899e-01
5975,7.9942047372858882e-01,2.1749261104226839e-01
5513,7.0588747887122549e-01,1.6711947735908125e-01
6607,7.5395233424676167e-01,2.7606643757812283e-01
5586,7.9150053166625012e-01,1.8911271234132593e-01
5249,7.6719544744704582e-01,1.6530539432147281e-01
7513,5.3357085722558650e-01,2.4579776356914637e-01
6319,8.4539066148060371e-01,2.5564728084935967e-01
6586,7.7457013103969052e-01,2.5501767067684378e-01
5319,8.2427081597709473e-01,1.7996755097631942e-01
4931,7.9732575106991743e-01,1.4670026672229844e-01
5179,6.5040472969903307e-01,1.2652111477763003e-01
5065,8.6655366170958259e-01,1.7326608238709185e-01
4844,7.0220013685319083e-01,1.2226333896421739e-01
6166,5.3834871529915707e-01,1.6798914578936372e-01
4672,8.4912115822407885e-01,1.4244249090888053e-01
6249,8.2477291927897600e-01,2.7669610122391552e-01
11714,1.4999999999999999e-01,1.9999999999999987e-01
4677,8.8717140391077820e-01,1.5221726201211400e-01
7181,4.8072808874133283e-01,2.1465936722182360e-01
5717,8.3219075804092313e-01,2.0834744967872232e-01
7863,3.5111361958023661e-02,1.9477773484525235e-01
5674,9.1780381083599694e-01,2.3034068466099544e-01
5910,5.3306875392331021e-01,1.4906921332102216e-01
7841,4.7230589201524248e-01,2.4759984571248475e-01
11992,1.6464466094067251e-01,2.3535533905932726e-01
4535,8.1794349327111304e-01,1.2565144634732142e-01
6125,8.9982604932274479e-01,2.6084947127010832e-01
5739,9.4051627569738749e-01,2.8008420860747496e-01
6282,4.6488855695160269e-01,1.5789819827144042e-01
4147,9.1466172684570590e-01,1.2415216817880988e-01
4993,9.6167927592633029e-01,1.9770301014517186e-01
5994,8.6282316496614297e-01,2.8647087232760543e-01
4274,8.6973890042527491e-01,1.2139367053390236e-01
5369,6.0812188396654077e-01,1.3322258336684978e-01
4999,9.2362903023963094e-01,1.8792823904194025e-01
4207,1.0885278131237945e+00,1.7759860437748651e-01
5014,1.1804681886248525e+00,2.5390794398875655e-01
11896,1.9999999999999987e-01,2.5000000000000000e-01
5407,8.9349872661676100e-01,2.0653336664111066e-01
7442,5.5787594144481378e-01,2.6960508158904301e-01
7104,4.3490758071028202e-01,2.0008308498397254e-01
5562,9.9495166353949349e-01,2.8528639902818936e-01
4616,1.2391361765127467e+00,2.4263389471700966e-01
3556,1.1704535239008280e+00,1.5473570096489586e-01
3174,1.3242471260054780e+00,1.6789857945123546e-01
3567,1.2180163310092025e+00,1.6695416484393616e-01
6100,8.3059813868292609e-01,2.3428365560516856e-01
2968,1.3760425331596426e+00,1.6364080363781008e-01
11224,1.6464466094067268e-01,1.6464466094067254e-01
3674,9.7332971473360119e-01,1.1287811890706602e-01
3436,1.2724517188513096e+00,1.7215635526465004e-01
3811,1.1281706781683403e+00,1.6143716955412440e-01
2334,1.5626064195750946e+00,1.6765852075908469e-01
6116,7.7825759130526917e-01,2.9987392489754511e-01
115,2.1829462562095499e+00,2.0358035969847116e-01
3,2.1919919724407402e+00,1.2232478508238198e-01
4075,9.6222453395407936e-01,1.3637063205785058e-01
514,2.0498849294661157e+00,2.0501826831131792e-01
4565,1.2729538221536594e+00,2.6888490551270533e-01
2966,1.4331179016896936e+00,1.7830296029265214e-01
2225,1.6265543688388822e+00,1.7530440395560989e-01
849,2.1999999999999997e+00,4.0999999999999992e-01
222,2.1207054594636006e+00,2.0564787804954479e-01
1911,1.6757097953050974e+00,1.6158666190804363e-01
8277,4.1248284199680679e-01,2.6430481764901292e-01
2583,1.5108110124209317e+00,1.7191629657251534e-01
7665,4.1445872254598548e-01,2.2895873029049238e-01
5891,4.2075394194234067e-01,1.1835159337067817e-01
1819,1.7301451831472072e+00,1.6678885232874663e-01
2323,1.4294305596716490e+00,1.3344682189779045e-01
8193,5.8816670107552760e-02,2.1094990409915146e-01
311,2.0736879103830086e+00,1.3209703608322995e-01
3380,1.5742137036569794e+00,2.4089455785634839e-01
880,1.9954495416240048e+00,1.9981607789063513e-01
10307,1.9719647763814049e-01,1.5007865924910915e-01
4071,1.0383250253274783e+00,1.5592017426431640e-01
3550,1.0753279096840784e+00,1.3029877320681438e-01
558,2.0683647942817198e+00,2.7123803195031715e-01
3039,1.2169689696791037e+00,1.3155799268320631e-01
2654,1.8178529586024861e+00,2.5957443163246069e-01
1707,1.5372539740257458e+00,1.0845503057847979e-01
359,2.1555704664346540e+00,2.6729506100595779e-01
11926,2.3728210824415824e-01,2.3331732889760023e-01
1984,1.4093580754981985e+00,9.3163264185446334e-02
2518,1.3559700489861912e+00,1.2335724592546669e-01
8486,3.5868677839335111e-01,2.5448214011489295e-01
3019,1.1028182326190050e+00,1.0223367937350987e-01
5577,5.2514881186092610e-01,1.2068931461542166e-01
1082,1.9853917221745949e+00,2.5870476320215174e-01
2900,1.2714043575212106e+00,1.3676018310392071e-01
3754,1.3538321716006085e+00,2.1062582993938680e-01
6603,6.8841182066031004e-01,2.9435681421624676e-01
1372,1.6218196654907420e+00,9.5052093400194049e-02
1239,1.7306904411749342e+00,1.0545647424142167e-01
11977,1.5916213244929014e-01,2.3857542300356357e-01
5732,8.3533284203121727e-01,3.1453596616091095e-01
6402,3.8296127494718701e-01,1.4550877612123914e-01
73,2.1445084403804966e+00,1.3272664582135596e-01
7210,5.0184793424485119e-01,2.9033909709490396e-01
1342,1.9167090695626723e+00,1.7080656945000283e-01
11599,1.7519794585171591e-01,2.6548831689747915e-01
3009,1.7073895635604306e+00,2.7510625671765043e-01
2613,1.6920517827351265e+00,3.1507500956089701e-01
11513,2.0156384498453317e-01,2.6206219063834713e-01
7770,4.0124451122327570e-01,2.9642715787368829e-01
8102,3.0839731535591597e-01,3.0898131630864528e-01
2816,9.6300093424230393e-01,0.0000000000000000e+00
3623,1.3987549980210388e+00,2.1338432758428716e-01
7246,1.9525472057209145e-01,1.0253724381174399e-01
10344,1.8378940402477714e-01,2.8971199326635300e-01
4461,9.7014447601790732e-01,1.6475053076025095e-01
9122,2.3690844162755439e-01,1.4781051138174531e-01
